"MLS #","Cat","Status","Address","City","County","Beds","Baths","Structure Type","Status Contractual Search Date","List Office Name","Price"
"VAFX2301446","RES","C/S","8220 Crestwood Heights Dr #1603","Mclean","Fairfax, VA","1","2/0","Penthouse Unit/Flat/Apartment","07/03/26","Long & Foster Real Estate, Inc. (LNG83)","$590,000"
"VAFX2325998","RES","C/S","1633 Dempsey St","Mclean","Fairfax, VA","4","3","Detached","07/03/26","Keller Williams Realty (KWR21)","$1,250,000"
"VAFX2325648","RES","C/S","1407 Woodhurst Blvd","Mclean","Fairfax, VA","4","4/1","Detached","07/02/26","Real Broker, LLC (REKL1)","$2,395,000"
"VAFX2325704","RES","C/S","1313 McLean Crest Ct","Mclean","Fairfax, VA","4","4/1","Interior Row/Townhouse","07/02/26","Keller Williams Realty (KWR21)","$1,265,000"
"VAFX2307562","RES","C/S","7018 Green Oak Dr","Mclean","Fairfax, VA","7","5/1","Detached","07/01/26","Serhant (SERH2)","$3,200,000"
"VAFX2319256","RES","C/S","1316 Alps Dr","Mclean","Fairfax, VA","5","4","Detached","07/01/26","Samson Properties (SAMP1)","$1,999,999"
"VAFX2325090","RES","C/S","1077 Spring Hill Rd","Mclean","Fairfax, VA","4","4/1","Detached","07/01/26","Serhant (SERH2)","$1,850,000"
"VAFX2324504","RES","C/S","8220 Crestwood Heights Dr #105","Mclean","Fairfax, VA","2","2","Unit/Flat/Apartment","07/01/26","Property Collective (PROPCOL1)","$775,000"
"VAFX2324654","RES","C/S","1716 Macon St","Mclean","Fairfax, VA","4","3","Detached","06/30/26","Samson Properties (SAMP14)","$1,675,000"
"VAFX2317716","RES","C/S","1405 Buena Vista Ave","Mclean","Fairfax, VA","5","4/1","Detached","06/25/26","Keller Williams Realty (KWR8)","$2,100,000"
"VAFX2323386","RES","C/S","1800 Old Meadow Rd #1204","Mclean","Fairfax, VA","2","2","Unit/Flat/Apartment","06/25/26","Keller Williams Realty (KWR8)","$425,000"
"VAFX2321134","RES","C/S","6526 Byrnes Dr","Mclean","Fairfax, VA","6","6/2","Detached","06/19/26","Focal Point Real Estate , LLC (FPRE1)","$3,195,000"
"VAFX2319254","RES","C/S","7126 Thrasher Rd","Mclean","Fairfax, VA","6","5/2","Detached","06/19/26","Focal Point Real Estate , LLC (FPRE1)","$3,275,000"
"VAFX2319272","RES","C/S","6716 Van Fleet Dr","Mclean","Fairfax, VA","7","6/1","Detached","06/19/26","Focal Point Real Estate , LLC (FPRE1)","$3,095,000"
"VAFX2318732","RES","C/S","8307 Summerwood Dr","Mclean","Fairfax, VA","6","7/2","Detached","06/11/26","Compass (COMPS5)","$7,495,888"
"VAFX2316514","RES","C/S","1444 Kirby Rd","Mclean","Fairfax, VA","7","6/3","Detached","06/01/26","Samson Properties (SAMP6)","$5,999,999"
"VAFX2313546","RES","C/S","6214 Loch Raven Dr","Mclean","Fairfax, VA","6","6/1","Detached","05/28/26","KW Metro Center (KWR9)","$3,499,888"
"VAFX2300652","RES","C/S","8206 Pettit Ct","Mclean","Fairfax, VA","6","7/3","Detached","04/03/26","KW Metro Center (KWR17)","$4,995,000"
"VAFX2298032","RES","C/S","7007 Hector Rd","Mclean","Fairfax, VA","6","7/2","Detached","03/26/26","RE/MAX Real Estate Connections (RAES4)","$4,447,000"
"VAFX2298206","RES","C/S","8400 Martingale Dr","Mclean","Fairfax, VA","6","5/2","Detached","03/25/26","Long & Foster Real Estate, Inc. (LNG83)","$4,999,000"
"VAFX2293418","RES","C/S","731 Lawton St","Mclean","Fairfax, VA","6","6/3","Detached","03/17/26","Keller Williams Realty (KWR21)","$7,499,950"
"VAFX2293086","RES","C/S","1701 Briar Ridge Rd","Mclean","Fairfax, VA","7","7/3","Detached","02/28/26","KW Metro Center (KWR17)","$6,995,000"
"VAFX2290290","RES","C/S","1629 Seneca Ave","Mclean","Fairfax, VA","6","6/1","Detached","02/12/26","Keller Williams Realty (KWR21)","$2,700,000"
"VAFX2286896","RES","C/S","6126 Stoneham Ln","Mclean","Fairfax, VA","6","6/3","Detached","01/22/26","KW Metro Center (KWR17)","$5,995,000"
"VAFX2276566","RES","C/S","6179 Hardy Dr","Mclean","Fairfax, VA","6","6/1","Detached","10/28/25","KW Metro Center (KWR17)","$3,250,000"
